timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-26 22:31:58,Great Barrington Declaration. There you go. Was that so difficult? #BBC #CNN @nytimes @guardian,b'noncensor',"['BBC', 'CNN']",9
2020-10-26 22:27:14,"Great to see newsreaders, reporters and presenters wearing their poppies and respecting our servicemen and women 🌹#ITV #BBC #Sky",b'IndiaWilloughby',"['ITV', 'BBC', 'Sky']",41919
2020-10-26 22:25:17,The BBC is a crock of biased shite! Absolute dribble #BBC @bbc,b'Amy_xo',['BBC'],445
2020-10-26 22:23:03,A well told story of the last BA 747 flight as seen by plane enthusiasts and an ex BA747 'hostie' on #BBC #Radio4 #TheUntold 'Seven Four Heaven'  11am today 26th Oct 20 and catch up  https://t.co/5lSneLfUy9,b'NorthWesterly',"['BBC', 'Radio4', 'TheUntold']",195
2020-10-26 22:18:23,aa can someone tell me how to rotate my camera angle in bloxburg build mode? i small brain  #royalehighselling #royalehightrades #royalehightrader #royalehightradings #royalehightraders #royalehightrading #royalehighshop #royalehighbidding #royalehightrade #bbc #bloxburg,b'arimoji123',"['royalehighselling', 'royalehightrades', 'royalehightrader', 'royalehightradings', 'royalehightraders', 'royalehightrading', 'royalehighshop', 'royalehighbidding', 'royalehightrade', 'bbc', 'bloxburg']",239
2020-10-26 22:12:43,Now why would they want to dramatize this? #bbc #vilepaedophiles   https://t.co/pomgR1XJ12,b'Catwoman1099',"['bbc', 'vilepaedophiles']",551
2020-10-26 22:10:09,These liars are skewing the data to keep the fear instilled in you #bbc #DefundTheBBC #covid19 #COVIDIOTS #plandemic https://t.co/0cpUpQ8SG6,b'Lornaland82',"['bbc', 'DefundTheBBC', 'covid19', 'COVIDIOTS', 'plandemic']",389
2020-10-26 22:08:43,@stephensackur How is this different from Aliyev’s people beheading &amp; skinning indigenous #Armenians!? How much dirty oil $ did they u? #bbc is purchased by a dictator aliyev and you accepted it! How do you sleep at night?✅#RecognizeArtsakh ✅#ArtsakhStrong 🚫#StopAzerbaijaniAggression,b'designyeva',"['Armenians', 'bbc', 'RecognizeArtsakh', 'ArtsakhStrong', 'StopAzerbaijaniAggression']",88
2020-10-26 22:05:12,"Fantastic clip, Rockschool was a great programme. Shame the #BBC couldn’t spare just an hour or two a week for something like it these days. The contributors were fabulous, everyone from Chet Atkins to Gary Moore to Dennis Bovell to Wilko.   Happy birthday #BootsyCollins https://t.co/Gd2ta0fVf7",b'RetiringB',"['BBC', 'BootsyCollins']",136
2020-10-26 22:04:04,US election: What can the US learn from other pandemic elections? - BBC News #BBC #topnews https://t.co/I82CpcDubI,b'vkteer',"['BBC', 'topnews']",1688
2020-10-26 22:03:33,"When I was young #BBC was a treasure trove, Not the Nine O'clock News and the Young Ones, now it's in Irish - what happened???",b'internetsense',['BBC'],1832
2020-10-26 21:57:20,Its all vibes upon vibes #BBC my favorite jam RN by @BlaqBonez Jam so lit 🔥 🔥🔥  #ComingOutDay #ASUU #FasholaCamChallenge #FasholaChallenge #DetectiveFashola #BBC https://t.co/vlsHhsyu3m,b'ebuksofficial',"['BBC', 'ComingOutDay', 'ASUU', 'FasholaCamChallenge', 'FasholaChallenge', 'DetectiveFashola', 'BBC']",163
