timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-27 21:12:32,☑ Hear Kushner's comment about Black Americans' desire for success #BreakingNews #cnn #PleaseRetweet ➡ https://t.co/gKNk86iZyh https://t.co/Vch69CkBBl,b'manatweets',"['BreakingNews', 'cnn', 'PleaseRetweet']",9140
2020-10-27 21:11:59,"After Donald Trump loses the election, which cable news network will be the first to interview him: #CNN, #MSNBC, or #FoxNews? From prison: #MTV, #Nickelodeon, #ComedyChannel?",b'lindyflies',"['CNN', 'MSNBC', 'FoxNews', 'MTV', 'Nickelodeon', 'ComedyChannel']",804
2020-10-27 21:10:55,@JesseBWatters 67 million already early voted and don't think for Trump. Like you guys but sounding desparate. Pollsters know this isn't 2016 unlike Trump.  #CNN #FoxNews,b'PaulManijak',"['CNN', 'FoxNews']",53
2020-10-27 21:10:32,"Hey Democrats, Who let the opioids in to murder people for political gain? you did!  #gop #dnc #cnn #ABC  #CBS  #NBC #NeverBiden #LincolnProject https://t.co/bAP91KNraB",b'BobHo31971183',"['gop', 'dnc', 'cnn', 'ABC', 'CBS', 'NBC', 'NeverBiden', 'LincolnProject']",2
2020-10-27 21:09:44,@POTUS is the worst president ever to speak and call names at someone kids is very rude and disrespectful...here in Michigan @GovWhitmer care and we appreciate her so damn you and what you think about opening up the state she care...#MSNBC2020 #CNN  #letitrip,b'AliciaB57142784',"['MSNBC2020', 'CNN', 'letitrip']",49
2020-10-27 21:08:39,"Whatever you hear, keep in mind that this is just a scheme to help Trump get votes. Biden is being set up. They want him to stand trial. Don't fall for it. #CNN #VoteTrump2020ToSaveAmerica",b'ultrahottie2000',"['CNN', 'VoteTrump2020ToSaveAmerica']",603
2020-10-27 21:06:22,@greggutfeld  #BidenHarris2020 🇺🇸🇺🇸🇺🇸  The best speeches are very short speeches. Biden may say short speeches but remember more what he says than Trump ever said except his sound bites.  #CNN #FoxNews,b'PaulManijak',"['BidenHarris2020', 'CNN', 'FoxNews']",53
2020-10-27 21:06:03,Compare the news side-by-side to see who's telling the whole story. Comment on bias or under-reporting. Share to support an informed democracy. #news #politics #media #msnbc #cnn #fox - Compare more at https://t.co/OCTLN0v95U https://t.co/kGsZoPgC2S,b'newscompare',"['news', 'politics', 'media', 'msnbc', 'cnn', 'fox']",2387
2020-10-27 21:05:00,Let them change their votes from Trump to .@JoeBiden after stellar performances at the two #Debates2020. #CNN #MSNBCLive #MSNBC2020 .@TeamJoe   Trump encourages people to change their vote but you can't do that in the Carolinas.    https://t.co/Fjh3dHhiYC via @wcnc,b'kojman1',"['Debates2020', 'CNN', 'MSNBCLive', 'MSNBC2020']",27
2020-10-27 21:04:37,"Obama calls Trump jealous of Covid19? Obama is a criminal war criminal that thinks killing entire families with drones is joke worth, and Democrats eat it up https://t.co/BsEdQgV6uu #gop #dnc #cnn #ABC  #CBS  #NBC #NeverBiden #LincolnProject",b'BobHo31971183',"['gop', 'dnc', 'cnn', 'ABC', 'CBS', 'NBC', 'NeverBiden', 'LincolnProject']",2
