timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-30 16:48:19,Law Offices of William Cafaro on #Google https://t.co/in17R5Eatx,b'getbizmarketing',['Google'],133
2020-10-30 16:47:45,Law Offices of William Cafaro on #Google https://t.co/woP0YmRG47,b'TweetNYLawyers',['Google'],527
2020-10-30 16:46:53,"#Google gets more and more offensive. If you search ""tsunami"" the first results you get are ""great prices on tsunami"" and for earthquake ""cheapest prices on earthquake"" Disgusting!!!",b'xanaud',['Google'],20
2020-10-30 16:46:02,#CARESAct - Benefits to Use Before Year End: https://t.co/bDCVFOQmaT   Gundling &amp; Company CPA on #Google #gundlingcpa #taxtips #charitablecontribution #HDHP #HSA #FSA #retirement #mortgagerelief,b'GundlingCpa',"['CARESAct', 'Google', 'gundlingcpa', 'taxtips', 'charitablecontribution', 'HDHP', 'HSA', 'FSA', 'retirement', 'mortgagerelief']",87
2020-10-30 16:45:44,#USINFO Big Tech Alters Election Policies 26 Times to Stop US President @realDonaldTrump ’s re-election! - READ MORE ABOUT 👉🏻 https://t.co/VdT6PZTc0M  #UnitedStates #Google #Trump #BigTech #JoeBiden #electioninterference #election2020 #freedom #freedomofspeech https://t.co/Kjfz7lgKd0,b'TBUNEWS',"['USINFO', 'UnitedStates', 'Google', 'Trump', 'BigTech', 'JoeBiden', 'electioninterference', 'election2020', 'freedom', 'freedomofspeech']",2299
2020-10-30 16:45:30,"COMO REINICIAR O iPhone SEM USAR OS BOTOES Friday! It's October 30, 2020 at 01:45PM https://t.co/qk8doOW2Q4 #Google #iPhone",b'AppleSyncBrasil',"['Google', 'iPhone']",1390
2020-10-30 16:45:12,"Advertising on Apps is growing. There are at least 300,000 mobile apps currently serving #Google #MobileAds.",b'webspressouk',"['Google', 'MobileAds']",1052
2020-10-30 16:45:11,@Shopify @ShopifySupport   How can i setup Google Analytics 4 (GA4) without using Google tag manager in my Shopify store? Plz help 🙏  #Shopify #Google #Analytics #marketingdigital,b'0070chandan',"['Shopify', 'Google', 'Analytics', 'marketingdigital']",1676
2020-10-30 16:44:32,"#Google #Pixel 5, 2020 #Flagship From Google, It's one of the Nicest Smartphones out there, check out its Detailed Review here. https://t.co/Ixgyw7nVHd https://t.co/u7YBB7tcoJ",b'Mr_D_Tech',"['Google', 'Pixel', 'Flagship']",4
2020-10-30 16:44:00,"Each time #Google can pair your business name with your business address, it means you’re more likely to be located at that address. #seo",b'7thcircledesign',"['Google', 'seo']",227
