timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-22 20:46:10,Do you need a data platform? How will the platform evolve? What foundations do you have in place? Tune in on-demand for answers to all your questions about the Modern Data Enterprise: https://t.co/YNLbtfJDAX #Microsoft #MDE #Data,b'Pariveda_Inc',"['Microsoft', 'MDE', 'Data']",1262
2020-10-22 20:45:12,YOOOO turns out touch controls on xbox have been a thing #Xbox #SeriesX #SeriesS #XboxSeriesS #xboxseriesx #ps5 #PlayStation5 #PlayStation5 #Microsoft #Sony https://t.co/7wnCGoWKEa,b'Lockstarrr1',"['Xbox', 'SeriesX', 'SeriesS', 'XboxSeriesS', 'xboxseriesx', 'ps5', 'PlayStation5', 'PlayStation5', 'Microsoft', 'Sony']",2
2020-10-22 20:44:25,#Microsoft #Edge for #Linux  #AppImage edition  https://t.co/wW54Qo5soy https://t.co/U5OzBwaHmL,b'ebalaskas',"['Microsoft', 'Edge', 'Linux', 'AppImage']",1289
2020-10-22 20:43:00,6 #Microsoft Azure services and features you need to secure and grow your business: https://t.co/E0QCkY0X3V #CybersecurityAwarenessMonth,b'AndrewGrose',"['Microsoft', 'CybersecurityAwarenessMonth']",592
2020-10-22 20:41:36,"Ahhh, i have been waiting for this day. #ElonMusk partnering with #Microsoft. What will happen when you get the most innovation person in the world with the most innovate company in the world. And i just have a very large man crush on #InElonWeTrust.  https://t.co/8g4Bc36lZD",b'skalingclouds',"['ElonMusk', 'Microsoft', 'InElonWeTrust']",91
2020-10-22 20:41:12,Microsoft Teams: Free version can now create video meetings ▸ https://t.co/x0NTq1Y7Nm  #Microsoft #Teams #FreeVersion https://t.co/G4khdv3kEu,b'ingeniousnewsrm',"['Microsoft', 'Teams', 'FreeVersion']",49
2020-10-22 20:38:55,"Today I have seen #Microsoft #windows XP ... and still, he is working",b'mtiosavljevic',"['Microsoft', 'windows']",1612
2020-10-22 20:36:29,Yoo i have to cop ngl #Xbox #stockx #ps5 #Microsoft @XboxP3 #pc #pcgaming https://t.co/rQnKkOJT3i,b'Lockstarrr1',"['Xbox', 'stockx', 'ps5', 'Microsoft', 'pc', 'pcgaming']",2
2020-10-22 20:36:16,You won't be able to disable Windows Defender in Windows 10 any more. Here's why  #microsoft #windows10 https://t.co/Wa4VusH69o,b'CleverYYC',"['microsoft', 'windows10']",80
2020-10-22 20:35:43,Woah! I had no idea it was a command bar too! #Microsoft #Teams https://t.co/MlEqUoSSiW,b'dnedohinmacek',"['Microsoft', 'Teams']",1023
2020-10-22 20:35:02,"Up to 50,000 Office 365 users are being targeted by a phishing campaign that notifies victims of a fake “missed chat” from Microsoft Teams. Always beware of notifications that seem out of place.  Learn more: https://t.co/5qRO74zO91  #Microsoft #Office365 #Cybersecurity #Phishing https://t.co/dHHHUfUxrJ",b'clarityhs',"['Microsoft', 'Office365', 'Cybersecurity', 'Phishing']",197
2020-10-22 20:35:02,5 things @NetMotion #Mobility can do that #Microsoft Always On #VPN can't. #Windows #Windows10 #Win10 #aovpn https://t.co/lHD3RaCigv,b'richardhicks',"['Mobility', 'Microsoft', 'VPN', 'Windows', 'Windows10', 'Win10', 'aovpn']",3631
2020-10-22 20:34:54,+ #Microsoft #Azure thinks my retweeting collusion with #Starlink #SpaceX is #positive when it could be feedback for #evil -what do sane people think? #BillGates need not apply with opinion though we thank you for your interest and wish you luck and a job in a galaxy far far away,b'screenwrites',"['Microsoft', 'Azure', 'Starlink', 'SpaceX', 'positive', 'evil', 'BillGates']",82
2020-10-22 20:34:29,#microsoft | #microsoftsecurity | 6 Easy Ways to Boost Security in Microsoft Defender and Windows 10 https://t.co/66ypKudWRI,b'NcsVentures',"['microsoft', 'microsoftsecurity']",6402
2020-10-22 20:34:17,Multi-user load testing for Microsoft Office hosted via RDS. #Microsoft #Office #Office365 #Citrix #CitraTest #automation #performance #RDS $MSFT $AMZN 👇👇👇👇  https://t.co/kCetc2XXcr https://t.co/kilyNfIoQl,b'tevron',"['Microsoft', 'Office', 'Office365', 'Citrix', 'CitraTest', 'automation', 'performance', 'RDS']",42
2020-10-22 20:34:00,Quickly get started with samples in Azure Synapse Analytics https://t.co/sSjEwacZe6 #Synapse #Microsoft,b'amattas',"['Synapse', 'Microsoft']",267
2020-10-22 20:33:09,3 #Microsoft #Excel CONDITIONAL Functions to Analyze data! #msexcel #tips #tricks #xceleration #ExcelTips #ExcelTrick https://t.co/5B4Wm4hwxC,b'XcelerationC',"['Microsoft', 'Excel', 'msexcel', 'tips', 'tricks', 'xceleration', 'ExcelTips', 'ExcelTrick']",1951
2020-10-22 20:30:21,You won’t be able to disable Windows Defender in Windows 10 anymore. Here’s why: https://t.co/nwrcfAIDvK #STG #STGITConsulting #ITSupport #TechNews #LosAngeles #WestHollywood #ComputerSupport #Microsoft #Windows10,b'stansgarage',"['STG', 'STGITConsulting', 'ITSupport', 'TechNews', 'LosAngeles', 'WestHollywood', 'ComputerSupport', 'Microsoft', 'Windows10']",766
2020-10-22 20:30:06,How has coronavirus shaped cybersecurity? Microsoft recently highlighted five keyways... https://t.co/3M5BRz2Sdq  #1upit #microsoft #Cybersecurity  #managedservices #itsupport #frederick  #maryland #hagerstown #itsupport https://t.co/QYVCRYwHUq,b'1upitconsulting',"['1upit', 'microsoft', 'Cybersecurity', 'managedservices', 'itsupport', 'frederick', 'maryland', 'hagerstown', 'itsupport']",32
2020-10-22 20:30:00,"#Migrate to #Microsoft Teams and take advantage of a full feature set of the #collaboration #tool that also provides IM, chat, voice, and video.  Introducing our automated tool to migrate from #SkypeForBusiness to #MicrosoftTeams  Visit - https://t.co/yVJVTs6JTK https://t.co/tk8wKt9h8d",b'Cyclotron_Inc',"['Migrate', 'Microsoft', 'collaboration', 'tool', 'SkypeForBusiness', 'MicrosoftTeams']",0
2020-10-22 20:28:53,ULTIMATE PROOF: #Covid19 Was PLANNED To Usher In The #NewWorldOrder https://t.co/Fpum96KCN8  #Serco #BorisJohnson #Microsoft #BarCouncil #lockdown #COYS #COYG,b'TornadoNewsLink',"['Covid19', 'NewWorldOrder', 'Serco', 'BorisJohnson', 'Microsoft', 'BarCouncil', 'lockdown', 'COYS', 'COYG']",4810
