timestamp,tweet_text,username,all_hashtags,followers_count
2020-10-24 19:01:05,"Earth's Volatile Environment 320,000 Years Ago Helped Make Humans So Adaptable - https://t.co/NHf93vCEPZ #breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews #newspaper #instanews #headlines https://t.co/wUDA2cPVuk",b'readnewsdesk',"['breakingnews', 'news', 'Latestnews', 'newsupdate', 'newsdesk', 'trendingnews', 'newspaper', 'instanews', 'headlines']",11744
2020-10-24 19:01:05,Grand Prix returns to St. Petersburg after long COVID delay https://t.co/4lKtOriVm4 #10news #news #wtsp https://t.co/LI6lu6QIqJ,b'brandonpromo',"['10news', 'news', 'wtsp']",4972
2020-10-24 19:00:55,No home comforts as Man Utd held by Chelsea - https://t.co/xbE2UoXc8D #breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews #newspaper #instanews #headlines https://t.co/rLvPLPRTwO,b'readnewsdesk',"['breakingnews', 'news', 'Latestnews', 'newsupdate', 'newsdesk', 'trendingnews', 'newspaper', 'instanews', 'headlines']",11744
2020-10-24 19:00:53,"$OVV in Uptrend: 50-day Moving Average crossed above 200-day Moving Average on October 9, 2020. View odds for this and other indicators: https://t.co/oAmFpuWvqE #Ovintiv #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/Apuuv644z0",b'Tickeron',"['Ovintiv', 'stockmarket', 'stock', 'technicalanalysis', 'money', 'trading', 'investing', 'daytrading', 'news', 'today']",6636
2020-10-24 19:00:42,Manchester United chase of Sergio Reguilon hits a bump with Real Madrid wanting a BUY-BACK clause #transfer #news https://t.co/7ZNSTyySj3,b'Yoursportsnews1',"['transfer', 'news']",1973
2020-10-24 19:00:42,Record-breaking Colorado wildfires force more evacuations - https://t.co/BeTwPkVoQ4 #breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews #newspaper #instanews #headlines https://t.co/fD49KEIEKb,b'readnewsdesk',"['breakingnews', 'news', 'Latestnews', 'newsupdate', 'newsdesk', 'trendingnews', 'newspaper', 'instanews', 'headlines']",11744
2020-10-24 19:00:34,CDE #News Views - This Day in Photos https://t.co/aU2wNL6kRx,b'CDNewsDispatch',['News'],108
2020-10-24 19:00:32,The VR Game Launch Roundup: A Horrifyingly Tasty Selection - https://t.co/mPe2Z9oyM6 #breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews #newspaper #instanews #headlines https://t.co/8K2gzfT9Ir,b'readnewsdesk',"['breakingnews', 'news', 'Latestnews', 'newsupdate', 'newsdesk', 'trendingnews', 'newspaper', 'instanews', 'headlines']",11744
2020-10-24 19:00:31,ALL London based restaurants SHOULD READ THIS ……… #news #today  https://t.co/jV3g0eQ3qg https://t.co/4YPyRwt35s,b'stainlesscleans',"['news', 'today']",321
2020-10-24 19:00:26,"Gabon's strongman president, Ali Bongo, is barely clinging to power after a stroke, politicians 'killing one another' in South Africa for corruption. Today's African politics &amp; news🗞️→ https://t.co/so3qp2MSuW #politics #businessnews #africapolitics #NetbuzzAfrica #Africa #news https://t.co/VJAbAQxV2V",b'netbuzzafrica',"['politics', 'businessnews', 'africapolitics', 'NetbuzzAfrica', 'Africa', 'news']",2352
2020-10-24 19:00:18,Arts at The New York Times #art #news https://t.co/7g9SUUx4uM,b'soncabral',"['art', 'news']",11750
2020-10-24 19:00:18,"'Each of the four centers will include a multi-purpose hall, theatre, seminar rooms, administrative and support facilities.'  #Oman #Muscat #News | @ThisIsOQ   https://t.co/7O3KvYtgqj",b'BusinessLiveME',"['Oman', 'Muscat', 'News']",2712
2020-10-24 19:00:14,Stay up to date with changes to Spotify for Artists!  https://t.co/RegyrjRh8V  #news #music #spotify #musicindustry #artist #musician #streaming #learn #label #business,b'Indie_101',"['news', 'music', 'spotify', 'musicindustry', 'artist', 'musician', 'streaming', 'learn', 'label', 'business']",1370
2020-10-24 19:00:14,Check this out! Justice League Dark #27 Preview #DC #dccomics #comics #comicbooks #news #dcu #dcuuniverse #art #info #NCBD #comicbooknews #previews #JLA #justiceleague #JL #hallofjustice #wonderwoman #justiceleaguedark #swampthing #detectivechimp #zatanna https://t.co/seHLLAXGMk,b'dispatchdcu',"['DC', 'dccomics', 'comics', 'comicbooks', 'news', 'dcu', 'dcuuniverse', 'art', 'info', 'NCBD', 'comicbooknews', 'previews', 'JLA', 'justiceleague', 'JL', 'hallofjustice', 'wonderwoman', 'justiceleaguedark', 'swampthing', 'detectivechimp', 'zatanna']",5806
